stakeholder,industry,materialType,certificationStatus,supplyReliability,technicalQualificationStatus,deliveryTimeline,annualSteelVolumeTonnes,conventionalSteelPricePerTonne,greenPremiumPerTonne,totalPremium,premiumPerProduct,premiumPercentage,baselineCo2Intensity,greenSteelCo2Intensity,co2Saved,proofScore,carbonPrice,indicativeCarbonValue,costSensitivity,proofSensitivity,claimRiskSensitivity,strategicFocus,supplySensitivity,technicalSensitivity,urgencySensitivity,price_objection,proof_certification_objection,greenwashing_objection,supply_reliability_objection,internal_approval_objection,technical_quality_objection,low_urgency_objection
Management,Infrastructure,Forged Components,Not started,Low,Not qualified,Within 3 months,20234.0,864.0,210.0,4249140.0,4.475256826411255,0.24305555555555555,1.9989692157751746,0.7795163397716249,24674.409493055824,1.0,85.0,2097324.806909745,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,0,1,0,0
Compliance,Infrastructure,Forged Components,Not started,Low,Not qualified,Within 3 months,20234.0,864.0,210.0,4249140.0,4.475256826411255,0.24305555555555555,1.9989692157751746,0.7795163397716249,24674.409493055824,1.0,85.0,2097324.806909745,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,0,0,1,0,0,0
Procurement,Renewable Energy,Wire Rod,Certified,High,Not qualified,Within 3 months,8993.0,730.0,141.0,1268013.0,1.7658085593489414,0.19315068493150686,1.7238351677459622,0.5868047056984165,10225.314945193579,1.0,85.0,869151.7703414542,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,0,1,1,0
Sustainability,Renewable Energy,Wire Rod,Certified,High,Not qualified,Within 3 months,8993.0,730.0,141.0,1268013.0,1.7658085593489414,0.19315068493150686,1.7238351677459622,0.5868047056984165,10225.314945193579,1.0,85.0,869151.7703414542,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,0,0,1,0,0
Management,Renewable Energy,Wire Rod,Certified,High,Not qualified,Within 3 months,8993.0,730.0,141.0,1268013.0,1.7658085593489414,0.19315068493150686,1.7238351677459622,0.5868047056984165,10225.314945193579,1.0,85.0,869151.7703414542,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,0,1,0,0,0
Compliance,Renewable Energy,Wire Rod,Certified,High,Not qualified,Within 3 months,8993.0,730.0,141.0,1268013.0,1.7658085593489414,0.19315068493150686,1.7238351677459622,0.5868047056984165,10225.314945193579,1.0,85.0,869151.7703414542,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,0,0,1,0,1,1
Procurement,Automotive,Engineering Steel,Pending,Medium,In qualification,Immediate,25516.0,744.0,197.0,5026652.0,3.120913180205323,0.2647849462365591,1.7551502412127702,0.7957456349016943,24480.167934633413,1.0,85.0,2080814.2744438401,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,1,1,0,1
Sustainability,Automotive,Engineering Steel,Pending,Medium,In qualification,Immediate,25516.0,744.0,197.0,5026652.0,3.120913180205323,0.2647849462365591,1.7551502412127702,0.7957456349016943,24480.167934633413,1.0,85.0,2080814.2744438401,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,0,0,0,1,0,1
Management,Automotive,Engineering Steel,Pending,Medium,In qualification,Immediate,25516.0,744.0,197.0,5026652.0,3.120913180205323,0.2647849462365591,1.7551502412127702,0.7957456349016943,24480.167934633413,1.0,85.0,2080814.2744438401,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,0,1,0,1
Compliance,Automotive,Engineering Steel,Pending,Medium,In qualification,Immediate,25516.0,744.0,197.0,5026652.0,3.120913180205323,0.2647849462365591,1.7551502412127702,0.7957456349016943,24480.167934633413,1.0,85.0,2080814.2744438401,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,1,1,1,0
Procurement,Renewable Energy,Engineering Steel,Certified,Low,Qualified,Within 3 months,9453.0,682.0,145.0,1370685.0,0.9025544011120235,0.2126099706744868,1.9199065574913603,0.8828994190575354,9802.828479614946,0.3333333333333333,85.0,833240.4207672704,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,1,1,1,1,1,1
Sustainability,Renewable Energy,Engineering Steel,Certified,Low,Qualified,Within 3 months,9453.0,682.0,145.0,1370685.0,0.9025544011120235,0.2126099706744868,1.9199065574913603,0.8828994190575354,9802.828479614946,0.3333333333333333,85.0,833240.4207672704,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,0,1,0,0,0
Management,Renewable Energy,Engineering Steel,Certified,Low,Qualified,Within 3 months,9453.0,682.0,145.0,1370685.0,0.9025544011120235,0.2126099706744868,1.9199065574913603,0.8828994190575354,9802.828479614946,0.3333333333333333,85.0,833240.4207672704,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,1,1,1,0,0
Compliance,Renewable Energy,Engineering Steel,Certified,Low,Qualified,Within 3 months,9453.0,682.0,145.0,1370685.0,0.9025544011120235,0.2126099706744868,1.9199065574913603,0.8828994190575354,9802.828479614946,0.3333333333333333,85.0,833240.4207672704,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,0,1,0,0,0,0
Procurement,Automotive,Spring Steel,Certified,Medium,Qualified,Within 3 months,24642.0,682.0,233.0,5741586.0,2.4017694561745864,0.3416422287390029,1.9709867418609917,0.3159731601294698,40782.84468102816,0.0,85.0,3466541.7978873937,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,1,1,0,0
Sustainability,Automotive,Spring Steel,Certified,Medium,Qualified,Within 3 months,24642.0,682.0,233.0,5741586.0,2.4017694561745864,0.3416422287390029,1.9709867418609917,0.3159731601294698,40782.84468102816,0.0,85.0,3466541.7978873937,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,1,0,0
Management,Automotive,Spring Steel,Certified,Medium,Qualified,Within 3 months,24642.0,682.0,233.0,5741586.0,2.4017694561745864,0.3416422287390029,1.9709867418609917,0.3159731601294698,40782.84468102816,0.0,85.0,3466541.7978873937,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,1,0,0,0,1
Compliance,Automotive,Spring Steel,Certified,Medium,Qualified,Within 3 months,24642.0,682.0,233.0,5741586.0,2.4017694561745864,0.3416422287390029,1.9709867418609917,0.3159731601294698,40782.84468102816,0.0,85.0,3466541.7978873937,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,1,0,1,0,0
Procurement,Renewable Energy,Forged Components,Pending,Medium,Qualified,Beyond 12 months,36997.0,754.0,66.0,2441802.0,0.9406643817172716,0.08753315649867374,2.361563564515765,0.7881940964496028,58209.950210043804,0.6,85.0,4947845.767853723,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,1,0,1,0,0,0
Sustainability,Renewable Energy,Forged Components,Pending,Medium,Qualified,Beyond 12 months,36997.0,754.0,66.0,2441802.0,0.9406643817172716,0.08753315649867374,2.361563564515765,0.7881940964496028,58209.950210043804,0.6,85.0,4947845.767853723,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,1,0,0
Management,Renewable Energy,Forged Components,Pending,Medium,Qualified,Beyond 12 months,36997.0,754.0,66.0,2441802.0,0.9406643817172716,0.08753315649867374,2.361563564515765,0.7881940964496028,58209.950210043804,0.6,85.0,4947845.767853723,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,0,0,0,0
Compliance,Renewable Energy,Forged Components,Pending,Medium,Qualified,Beyond 12 months,36997.0,754.0,66.0,2441802.0,0.9406643817172716,0.08753315649867374,2.361563564515765,0.7881940964496028,58209.950210043804,0.6,85.0,4947845.767853723,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,0,1,0,0,0,1
Procurement,Machinery,Engineering Steel,Not started,High,Not qualified,Immediate,28687.0,887.0,186.0,5335782.0,4.3150590878323465,0.20969560315670802,2.2289649203410975,0.6458575154778703,45414.6021233114,0.2,85.0,3860241.1804814693,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,1,0,1,0,0
Sustainability,Machinery,Engineering Steel,Not started,High,Not qualified,Immediate,28687.0,887.0,186.0,5335782.0,4.3150590878323465,0.20969560315670802,2.2289649203410975,0.6458575154778703,45414.6021233114,0.2,85.0,3860241.1804814693,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,1,1,1,0,0,0
Management,Machinery,Engineering Steel,Not started,High,Not qualified,Immediate,28687.0,887.0,186.0,5335782.0,4.3150590878323465,0.20969560315670802,2.2289649203410975,0.6458575154778703,45414.6021233114,0.2,85.0,3860241.1804814693,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,0,1,1,0
Compliance,Machinery,Engineering Steel,Not started,High,Not qualified,Immediate,28687.0,887.0,186.0,5335782.0,4.3150590878323465,0.20969560315670802,2.2289649203410975,0.6458575154778703,45414.6021233114,0.2,85.0,3860241.1804814693,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,0,1,0
Procurement,Infrastructure,Wire Rod,Certified,Medium,In qualification,Beyond 12 months,31877.0,770.0,240.0,7650480.0,44.751164042209695,0.3116883116883117,1.9383649078305438,0.5533938439866569,44148.72260215158,1.0,85.0,3752641.4211828844,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,1,0,1,0,0
Sustainability,Infrastructure,Wire Rod,Certified,Medium,In qualification,Beyond 12 months,31877.0,770.0,240.0,7650480.0,44.751164042209695,0.3116883116883117,1.9383649078305438,0.5533938439866569,44148.72260215158,1.0,85.0,3752641.4211828844,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,0,1,0,1,0
Management,Infrastructure,Wire Rod,Certified,Medium,In qualification,Beyond 12 months,31877.0,770.0,240.0,7650480.0,44.751164042209695,0.3116883116883117,1.9383649078305438,0.5533938439866569,44148.72260215158,1.0,85.0,3752641.4211828844,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,1,0,1,1
Compliance,Infrastructure,Wire Rod,Certified,Medium,In qualification,Beyond 12 months,31877.0,770.0,240.0,7650480.0,44.751164042209695,0.3116883116883117,1.9383649078305438,0.5533938439866569,44148.72260215158,1.0,85.0,3752641.4211828844,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,0,1,0,1,0,1
Procurement,Automotive,Bar Steel,Certified,Medium,In qualification,Within 12 months,3153.0,928.0,93.0,293229.0,0.09855698211529018,0.10021551724137931,1.8858108892532663,0.8677959439301375,3209.801122603825,0.6666666666666666,85.0,272833.0954213251,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,1,1,1,0,1,1
Sustainability,Automotive,Bar Steel,Certified,Medium,In qualification,Within 12 months,3153.0,928.0,93.0,293229.0,0.09855698211529018,0.10021551724137931,1.8858108892532663,0.8677959439301375,3209.801122603825,0.6666666666666666,85.0,272833.0954213251,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,0,0,1,0,1
Management,Automotive,Bar Steel,Certified,Medium,In qualification,Within 12 months,3153.0,928.0,93.0,293229.0,0.09855698211529018,0.10021551724137931,1.8858108892532663,0.8677959439301375,3209.801122603825,0.6666666666666666,85.0,272833.0954213251,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,1,0,0,1,1
Compliance,Automotive,Bar Steel,Certified,Medium,In qualification,Within 12 months,3153.0,928.0,93.0,293229.0,0.09855698211529018,0.10021551724137931,1.8858108892532663,0.8677959439301375,3209.801122603825,0.6666666666666666,85.0,272833.0954213251,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,0,0,1,1,0
Procurement,Machinery,Forged Components,In audit,Low,In qualification,Within 12 months,5298.0,638.0,215.0,1139070.0,0.4713404155568365,0.33699059561128525,1.9299878270457158,0.7174953339466015,6423.785228439107,0.0,85.0,546021.7444173241,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,1,1,1,0,0
Sustainability,Machinery,Forged Components,In audit,Low,In qualification,Within 12 months,5298.0,638.0,215.0,1139070.0,0.4713404155568365,0.33699059561128525,1.9299878270457158,0.7174953339466015,6423.785228439107,0.0,85.0,546021.7444173241,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,1,0,1,1
Management,Machinery,Forged Components,In audit,Low,In qualification,Within 12 months,5298.0,638.0,215.0,1139070.0,0.4713404155568365,0.33699059561128525,1.9299878270457158,0.7174953339466015,6423.785228439107,0.0,85.0,546021.7444173241,0.6,0.5,0.5,0.95,0.6,0.5,0.6,1,1,1,0,1,0,0
Compliance,Machinery,Forged Components,In audit,Low,In qualification,Within 12 months,5298.0,638.0,215.0,1139070.0,0.4713404155568365,0.33699059561128525,1.9299878270457158,0.7174953339466015,6423.785228439107,0.0,85.0,546021.7444173241,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,1,0,1
Procurement,Machinery,Wire Rod,Certified,Medium,In qualification,Within 6 months,26001.0,654.0,188.0,4888188.0,6.9311224923857,0.2874617737003058,2.250606180093661,0.4534277203405067,46728.43713204177,0.0,85.0,3971917.1562235504,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,0,0,0,0,0
Sustainability,Machinery,Wire Rod,Certified,Medium,In qualification,Within 6 months,26001.0,654.0,188.0,4888188.0,6.9311224923857,0.2874617737003058,2.250606180093661,0.4534277203405067,46728.43713204177,0.0,85.0,3971917.1562235504,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,1,1,1,1,0
Management,Machinery,Wire Rod,Certified,Medium,In qualification,Within 6 months,26001.0,654.0,188.0,4888188.0,6.9311224923857,0.2874617737003058,2.250606180093661,0.4534277203405067,46728.43713204177,0.0,85.0,3971917.1562235504,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,0,0,0,1
Compliance,Machinery,Wire Rod,Certified,Medium,In qualification,Within 6 months,26001.0,654.0,188.0,4888188.0,6.9311224923857,0.2874617737003058,2.250606180093661,0.4534277203405067,46728.43713204177,0.0,85.0,3971917.1562235504,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,1,1,1,1
Procurement,Construction,Forged Components,Pending,High,Qualified,Within 3 months,39281.0,631.0,208.0,8170448.0,3.647513286800699,0.329635499207607,2.3253728536588874,0.6155468229477384,67163.67631236464,0.8,85.0,5708912.486550994,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,1,1,0,1,0
Sustainability,Construction,Forged Components,Pending,High,Qualified,Within 3 months,39281.0,631.0,208.0,8170448.0,3.647513286800699,0.329635499207607,2.3253728536588874,0.6155468229477384,67163.67631236464,0.8,85.0,5708912.486550994,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,1,1,0,0,0,1
Management,Construction,Forged Components,Pending,High,Qualified,Within 3 months,39281.0,631.0,208.0,8170448.0,3.647513286800699,0.329635499207607,2.3253728536588874,0.6155468229477384,67163.67631236464,0.8,85.0,5708912.486550994,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,1,1,0,0,0
Compliance,Construction,Forged Components,Pending,High,Qualified,Within 3 months,39281.0,631.0,208.0,8170448.0,3.647513286800699,0.329635499207607,2.3253728536588874,0.6155468229477384,67163.67631236464,0.8,85.0,5708912.486550994,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,0,0,0,0,0,0
Procurement,Renewable Energy,Engineering Steel,Pending,Low,Not qualified,Within 12 months,3722.0,839.0,229.0,852338.0,0.9426348804699803,0.2729439809296782,2.0986204409286646,0.7898903892867135,4871.093252211342,0.16666666666666666,85.0,414042.926437964,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,1,0,0,0,0,0
Sustainability,Renewable Energy,Engineering Steel,Pending,Low,Not qualified,Within 12 months,3722.0,839.0,229.0,852338.0,0.9426348804699803,0.2729439809296782,2.0986204409286646,0.7898903892867135,4871.093252211342,0.16666666666666666,85.0,414042.926437964,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,0,0,1
Management,Renewable Energy,Engineering Steel,Pending,Low,Not qualified,Within 12 months,3722.0,839.0,229.0,852338.0,0.9426348804699803,0.2729439809296782,2.0986204409286646,0.7898903892867135,4871.093252211342,0.16666666666666666,85.0,414042.926437964,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,1,1,0,1
Compliance,Renewable Energy,Engineering Steel,Pending,Low,Not qualified,Within 12 months,3722.0,839.0,229.0,852338.0,0.9426348804699803,0.2729439809296782,2.0986204409286646,0.7898903892867135,4871.093252211342,0.16666666666666666,85.0,414042.926437964,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,0,0,0
Procurement,Machinery,Wire Rod,Pending,Medium,Not qualified,Within 12 months,34953.0,870.0,109.0,3809877.0,7.146927566083076,0.12528735632183907,2.1373596634223957,0.502970896234328,57126.79057952453,0.6,85.0,4855777.199259585,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,1,0,0,1,1
Sustainability,Machinery,Wire Rod,Pending,Medium,Not qualified,Within 12 months,34953.0,870.0,109.0,3809877.0,7.146927566083076,0.12528735632183907,2.1373596634223957,0.502970896234328,57126.79057952453,0.6,85.0,4855777.199259585,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,1,0,1,1,1,1
Management,Machinery,Wire Rod,Pending,Medium,Not qualified,Within 12 months,34953.0,870.0,109.0,3809877.0,7.146927566083076,0.12528735632183907,2.1373596634223957,0.502970896234328,57126.79057952453,0.6,85.0,4855777.199259585,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,1,0,0,0,1
Compliance,Machinery,Wire Rod,Pending,Medium,Not qualified,Within 12 months,34953.0,870.0,109.0,3809877.0,7.146927566083076,0.12528735632183907,2.1373596634223957,0.502970896234328,57126.79057952453,0.6,85.0,4855777.199259585,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,1,1,0
Procurement,Machinery,Forged Components,Not started,Medium,Not qualified,Immediate,10734.0,793.0,217.0,2329278.0,4.671336777423029,0.27364438839848676,2.1913767121752725,0.39433710157203244,19289.423180215177,0.8,85.0,1639600.97031829,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,1,1,0,0,0
Sustainability,Machinery,Forged Components,Not started,Medium,Not qualified,Immediate,10734.0,793.0,217.0,2329278.0,4.671336777423029,0.27364438839848676,2.1913767121752725,0.39433710157203244,19289.423180215177,0.8,85.0,1639600.97031829,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,0,0,1,1,0
Management,Machinery,Forged Components,Not started,Medium,Not qualified,Immediate,10734.0,793.0,217.0,2329278.0,4.671336777423029,0.27364438839848676,2.1913767121752725,0.39433710157203244,19289.423180215177,0.8,85.0,1639600.97031829,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,1,0,0,1
Compliance,Machinery,Forged Components,Not started,Medium,Not qualified,Immediate,10734.0,793.0,217.0,2329278.0,4.671336777423029,0.27364438839848676,2.1913767121752725,0.39433710157203244,19289.423180215177,0.8,85.0,1639600.97031829,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,0,0,1,1,0
Procurement,Construction,Forged Components,Not started,High,In qualification,Within 3 months,33564.0,603.0,131.0,4396884.0,2.9036979704616717,0.21724709784411278,2.2819828941261497,0.8374879132902107,48483.02953677746,0.6,85.0,4121057.510626084,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,1,1,1,1,1,0
Sustainability,Construction,Forged Components,Not started,High,In qualification,Within 3 months,33564.0,603.0,131.0,4396884.0,2.9036979704616717,0.21724709784411278,2.2819828941261497,0.8374879132902107,48483.02953677746,0.6,85.0,4121057.510626084,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,1,0,1,0,1
Management,Construction,Forged Components,Not started,High,In qualification,Within 3 months,33564.0,603.0,131.0,4396884.0,2.9036979704616717,0.21724709784411278,2.2819828941261497,0.8374879132902107,48483.02953677746,0.6,85.0,4121057.510626084,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,1,0,1,0
Compliance,Construction,Forged Components,Not started,High,In qualification,Within 3 months,33564.0,603.0,131.0,4396884.0,2.9036979704616717,0.21724709784411278,2.2819828941261497,0.8374879132902107,48483.02953677746,0.6,85.0,4121057.510626084,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,1,0,0,0,0
Procurement,Infrastructure,Bar Steel,Certified,High,Not qualified,Beyond 12 months,39282.0,612.0,215.0,8445630.0,19.133906967892777,0.35130718954248363,2.0377191206980942,0.3541149122659278,66135.34051563237,0.3333333333333333,85.0,5621503.943828751,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,1,0,0,0,1,1
Sustainability,Infrastructure,Bar Steel,Certified,High,Not qualified,Beyond 12 months,39282.0,612.0,215.0,8445630.0,19.133906967892777,0.35130718954248363,2.0377191206980942,0.3541149122659278,66135.34051563237,0.3333333333333333,85.0,5621503.943828751,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,1,0,0,0,1
Management,Infrastructure,Bar Steel,Certified,High,Not qualified,Beyond 12 months,39282.0,612.0,215.0,8445630.0,19.133906967892777,0.35130718954248363,2.0377191206980942,0.3541149122659278,66135.34051563237,0.3333333333333333,85.0,5621503.943828751,0.6,0.5,0.5,0.95,0.6,0.5,0.6,1,0,0,0,0,1,0
Compliance,Infrastructure,Bar Steel,Certified,High,Not qualified,Beyond 12 months,39282.0,612.0,215.0,8445630.0,19.133906967892777,0.35130718954248363,2.0377191206980942,0.3541149122659278,66135.34051563237,0.3333333333333333,85.0,5621503.943828751,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,0,0,0,1,1,1
Procurement,Construction,Spring Steel,Certified,Low,In qualification,Within 3 months,15673.0,799.0,206.0,3228638.0,1.2292347774241654,0.25782227784730916,1.9906696137605124,0.7858736248480396,18882.767534225186,0.8,85.0,1605035.2404091407,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,1,0,1,0
Sustainability,Construction,Spring Steel,Certified,Low,In qualification,Within 3 months,15673.0,799.0,206.0,3228638.0,1.2292347774241654,0.25782227784730916,1.9906696137605124,0.7858736248480396,18882.767534225186,0.8,85.0,1605035.2404091407,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,0,1,0,0,1
Management,Construction,Spring Steel,Certified,Low,In qualification,Within 3 months,15673.0,799.0,206.0,3228638.0,1.2292347774241654,0.25782227784730916,1.9906696137605124,0.7858736248480396,18882.767534225186,0.8,85.0,1605035.2404091407,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,1,1,1,0
Compliance,Construction,Spring Steel,Certified,Low,In qualification,Within 3 months,15673.0,799.0,206.0,3228638.0,1.2292347774241654,0.25782227784730916,1.9906696137605124,0.7858736248480396,18882.767534225186,0.8,85.0,1605035.2404091407,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,0,1,0,1,0,1
Procurement,Machinery,Spring Steel,In audit,Medium,In qualification,Within 12 months,18653.0,811.0,121.0,2257013.0,2.637831450904127,0.14919852034525277,1.8354856350645172,0.7389826030935942,20453.071055353626,0.16666666666666666,85.0,1738511.0397050583,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,0,0,0,0,0
Sustainability,Machinery,Spring Steel,In audit,Medium,In qualification,Within 12 months,18653.0,811.0,121.0,2257013.0,2.637831450904127,0.14919852034525277,1.8354856350645172,0.7389826030935942,20453.071055353626,0.16666666666666666,85.0,1738511.0397050583,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,1,1,0,0,0,0
Management,Machinery,Spring Steel,In audit,Medium,In qualification,Within 12 months,18653.0,811.0,121.0,2257013.0,2.637831450904127,0.14919852034525277,1.8354856350645172,0.7389826030935942,20453.071055353626,0.16666666666666666,85.0,1738511.0397050583,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,0,1,0,1
Compliance,Machinery,Spring Steel,In audit,Medium,In qualification,Within 12 months,18653.0,811.0,121.0,2257013.0,2.637831450904127,0.14919852034525277,1.8354856350645172,0.7389826030935942,20453.071055353626,0.16666666666666666,85.0,1738511.0397050583,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,1,1,0
Procurement,Renewable Energy,Engineering Steel,Pending,High,Qualified,Immediate,33150.0,703.0,53.0,1756950.0,0.8498363643575161,0.07539118065433854,2.2962175271288263,0.8685432281168002,47327.403012248666,0.8333333333333334,85.0,4022829.2560411366,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,0,0,1,0
Sustainability,Renewable Energy,Engineering Steel,Pending,High,Qualified,Immediate,33150.0,703.0,53.0,1756950.0,0.8498363643575161,0.07539118065433854,2.2962175271288263,0.8685432281168002,47327.403012248666,0.8333333333333334,85.0,4022829.2560411366,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,0,1,1,1,0,0
Management,Renewable Energy,Engineering Steel,Pending,High,Qualified,Immediate,33150.0,703.0,53.0,1756950.0,0.8498363643575161,0.07539118065433854,2.2962175271288263,0.8685432281168002,47327.403012248666,0.8333333333333334,85.0,4022829.2560411366,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,0,0,0,0
Compliance,Renewable Energy,Engineering Steel,Pending,High,Qualified,Immediate,33150.0,703.0,53.0,1756950.0,0.8498363643575161,0.07539118065433854,2.2962175271288263,0.8685432281168002,47327.403012248666,0.8333333333333334,85.0,4022829.2560411366,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,0,1,0,0,1,0
Procurement,Automotive,Forged Components,Not started,High,In qualification,Beyond 12 months,25329.0,756.0,161.0,4077969.0,48.91821311613066,0.21296296296296297,2.0800303574665198,0.6462049987748246,36317.362510301944,0.0,85.0,3086975.8133756653,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,1,1,1,1,0,1
Sustainability,Automotive,Forged Components,Not started,High,In qualification,Beyond 12 months,25329.0,756.0,161.0,4077969.0,48.91821311613066,0.21296296296296297,2.0800303574665198,0.6462049987748246,36317.362510301944,0.0,85.0,3086975.8133756653,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,1,1,0,1,0,1
Management,Automotive,Forged Components,Not started,High,In qualification,Beyond 12 months,25329.0,756.0,161.0,4077969.0,48.91821311613066,0.21296296296296297,2.0800303574665198,0.6462049987748246,36317.362510301944,0.0,85.0,3086975.8133756653,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,0,0,0,1
Compliance,Automotive,Forged Components,Not started,High,In qualification,Beyond 12 months,25329.0,756.0,161.0,4077969.0,48.91821311613066,0.21296296296296297,2.0800303574665198,0.6462049987748246,36317.362510301944,0.0,85.0,3086975.8133756653,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,0,0,1,1,1
Procurement,Construction,Forged Components,Pending,High,In qualification,Within 6 months,33126.0,864.0,205.0,6790830.0,6.541752763528647,0.23726851851851852,1.6509991394878085,0.5030565656430932,38026.745701180036,1.0,85.0,3232273.384600303,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,0,1,0,0
Sustainability,Construction,Forged Components,Pending,High,In qualification,Within 6 months,33126.0,864.0,205.0,6790830.0,6.541752763528647,0.23726851851851852,1.6509991394878085,0.5030565656430932,38026.745701180036,1.0,85.0,3232273.384600303,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,0,0,1,1,0
Management,Construction,Forged Components,Pending,High,In qualification,Within 6 months,33126.0,864.0,205.0,6790830.0,6.541752763528647,0.23726851851851852,1.6509991394878085,0.5030565656430932,38026.745701180036,1.0,85.0,3232273.384600303,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,0,0,0,0
Compliance,Construction,Forged Components,Pending,High,In qualification,Within 6 months,33126.0,864.0,205.0,6790830.0,6.541752763528647,0.23726851851851852,1.6509991394878085,0.5030565656430932,38026.745701180036,1.0,85.0,3232273.384600303,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,0,1,0,0,1,0
